time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,1.289370296257220439e-04,-2.512783239441858905e-04,1.289309838034827793e-01,-2.512668654033202720e-01,0.000000000000000000e+00,-9.597924793830424628e-01
4.000000000000000083e-03,5.083489315799863753e-04,-9.906973099954342887e-04,2.504630766065648051e-01,-4.881183022943936800e-01,0.000000000000000000e+00,-9.052541797052785499e-01
6.000000000000000125e-03,1.123828547657886815e-03,-2.190191058054509303e-03,3.649874435061792877e-01,-7.113202842969116313e-01,0.000000000000000000e+00,-8.541418332002345126e-01
8.000000000000000167e-03,1.961726124818759937e-03,-3.823176813359331020e-03,4.728702408027986581e-01,-9.215898210266786350e-01,0.000000000000000000e+00,-8.062469374709010372e-01
1.000000000000000021e-02,3.009100772017935486e-03,-5.864459919524922168e-03,5.744541186060297955e-01,-1.119597894331693322e+00,0.000000000000000000e+00,-7.613751280223260975e-01
1.200000000000000025e-02,4.253674958603232206e-03,-8.290144716314709963e-03,6.700597529180146728e-01,-1.305972453295414004e+00,0.000000000000000000e+00,-7.193452935117704561e-01
1.400000000000000029e-02,5.683792071380457112e-03,-1.107755141759983811e-02,7.599873667780090436e-01,-1.481301388749048931e+00,0.000000000000000000e+00,-6.799886807733908078e-01
1.600000000000000033e-02,7.288376978437101361e-03,-1.420513886960261644e-02,8.445182115843757886e-01,-1.646135430626546103e+00,0.000000000000000000e+00,-6.431480118277408398e-01
1.800000000000000211e-02,9.056899499164645581e-03,-1.765243299405070201e-02,9.239159885974194131e-01,-1.800990928904579569e+00,0.000000000000000000e+00,-6.086766285154896483e-01
2.000000000000000389e-02,1.097934064690932014e-02,-2.139996065603391728e-02,9.984281974225854839e-01,-1.946352492184590943e+00,0.000000000000000000e+00,-5.764376753652049601e-01
2.200000000000000566e-02,1.304616148958373523e-02,-2.542918865486285679e-02,1.068287403427785831e+00,-2.082675468074092429e+00,0.000000000000000000e+00,-5.463033274878368317e-01
2.400000000000000744e-02,1.524827446147083293e-02,-2.972246751236691520e-02,1.133712419921214076e+00,-2.210388257115046162e+00,0.000000000000000000e+00,-5.181540674203930497e-01
2.600000000000000921e-02,1.757701695407619738e-02,-3.426297972239191608e-02,1.194909403793384950e+00,-2.329894457648800543e+00,0.000000000000000000e+00,-4.918780127066460506e-01
2.800000000000001099e-02,2.002412701347519239e-02,-3.903469212431872476e-02,1.252072865435348792e+00,-2.441574843142363171e+00,0.000000000000000000e+00,-4.673702944360139666e-01
3.000000000000001277e-02,2.258172097480100685e-02,-4.402231206956607606e-02,1.305386595261470273e+00,-2.545789176476964233e+00,0.000000000000000000e+00,-4.445324858314233518e-01
3.200000000000001454e-02,2.524227287028634956e-02,-4.921124706122270015e-02,1.355024510228202361e+00,-2.642877867787817081e+00,0.000000000000000000e+00,-4.232720791800712035e-01
3.400000000000001632e-02,2.799859545480862244e-02,-5.458756756161478596e-02,1.401151424457381278e+00,-2.733163483854108566e+00,0.000000000000000000e+00,-4.035020088576228847e-01
3.600000000000001810e-02,3.084382270158930045e-02,-6.013797267956570020e-02,1.443923748526797279e+00,-2.816952117933229527e+00,0.000000000000000000e+00,-3.851402178448465885e-01
3.800000000000001987e-02,3.377139363010269596e-02,-6.584975846744459127e-02,1.483490122246139409e+00,-2.894534629438359818e+00,0.000000000000000000e+00,-3.681092649281909601e-01
4.000000000000002165e-02,3.677503733801008173e-02,-7.171078857714736909e-02,1.519991985842028548e+00,-2.966187763070028183e+00,0.000000000000000000e+00,-3.523359696761658166e-01
4.200000000000002343e-02,3.984875911879162680e-02,-7.770946704339680433e-02,1.553564094469374712e+00,-3.032175157003889066e+00,0.000000000000000000e+00,-3.377510922634903157e-01
4.400000000000002520e-02,4.298682755650580500e-02,-8.383471298180590614e-02,1.584334980876553889e+00,-3.092748249565166141e+00,0.000000000000000000e+00,-3.242890452537655066e-01
4.600000000000002698e-02,4.618376249862063410e-02,-9.007593700773819378e-02,1.612427370900950452e+00,-3.148147093528198326e+00,0.000000000000000000e+00,-3.118876345326517807e-01
4.800000000000002875e-02,4.943432381702752426e-02,-9.642301919991341785e-02,1.637958556276173816e+00,-3.198601086800466398e+00,0.000000000000000000e+00,-3.004878266951381272e-01
5.000000000000003053e-02,5.273350087609214587e-02,-1.028662884497999891e-01,1.661040729005744510e+00,-3.244329627809852568e+00,0.000000000000000000e+00,-2.900335403228885833e-01
5.200000000000003231e-02,5.607650263486484155e-02,-1.093965030540026556e-01,1.681781281310360532e+00,-3.285542703431508116e+00,0.000000000000000000e+00,-2.804714587341438636e-01
5.400000000000003408e-02,5.945874831833182494e-02,-1.160048324220289140e-01,1.700283074894842761e+00,-3.322441416781947598e+00,0.000000000000000000e+00,-2.717508619435015649e-01
5.600000000000003586e-02,6.287585859981698055e-02,-1.226828397859586056e-01,1.716644683012730876e+00,-3.355218461685047338e+00,0.000000000000000000e+00,-2.638234757282456600e-01
5.800000000000003764e-02,6.632364724333383865e-02,-1.294224658116312765e-01,1.730960608536196599e+00,-3.384058550087159389e+00,0.000000000000000000e+00,-2.566433358583921631e-01
6.000000000000003941e-02,6.979811316083756045e-02,-1.362160130230025412e-01,1.743321480970400295e+00,-3.409138798174330187e+00,0.000000000000000000e+00,-2.501666657068943311e-01
6.200000000000004119e-02,7.329543284494421940e-02,-1.430561309623179789e-01,1.753814235087860052e+00,-3.430629076429922542e+00,0.000000000000000000e+00,-2.443517656124999105e-01
6.400000000000004297e-02,7.681195314278244091e-02,-1.499358020187340768e-01,1.762522273602430412e+00,-3.448692328370915661e+00,0.000000000000000000e+00,-2.391589125191591059e-01
6.600000000000004474e-02,8.034418434123741237e-02,-1.568483278670154690e-01,1.769525616056186745e+00,-3.463484862219882832e+00,0.000000000000000000e+00,-2.345502685613584104e-01
6.800000000000004652e-02,8.388879353796049876e-02,-1.637873164659955916e-01,1.774901035857596732e+00,-3.475156619310503903e+00,0.000000000000000000e+00,-2.304897974034867958e-01
